recept,ingrediënten,url
Groene asperges met aardappeltjes en ei,"['1 kg krieltjes in schil', 'scheut olijfolie', '1 theelepel italiaanse kruiden', '500 gr groene asperges', '4  eieren', '85 gr veldsla', '4 eetlepels pijnboompitten (geroosterd)', 'verse basilicum', '4 eetlepels parmezaanse kaas']",https://www.leukerecepten.nl/recepten/groene-asperges-met-aardappeltjes-en-ei/
Gehaktschotel met hete bliksem,"['500 gr geschilde kruimige aardappels', '2  appels', '1  ui', 'Klont boter', 'Scheut melk', 'peper en zout', 'Snufje kaneel', '300 gr rundergehakt', 'Snuf kerriepoeder', '200 gr prei (fijngesneden)']",https://www.leukerecepten.nl/recepten/gehaktschotel-met-hete-bliksem/
Noedels met zalm teriyaki en broccoli,"['1  x recept (zalm teriyaki)', '400 gr broccoli', '250 gr (wok) noedels', '75 gr cashewnoten', '2  bosuien', '1 eetlepel sesamzaadjes', '1  rode peper']",https://www.leukerecepten.nl/recepten/noedels-met-zalm-teriyaki-en-broccoli/
Chili con carne,"['1  grote ui', '2  rode paprika’s', '2  eetlepels kruidenmix voor (chili con carne )', '1 eetlepels olijfolie', '500 gr rundergehakt', '450 gr rode/bruine bonen', '1  blik tomatenblokjes a 400 gr', '1  klein blikje tomatenpuree', '200 ml gezeefde tomaten', '1  klein blikje mais a 150 gr', '250 ml zure room', 'peterselie (fijngehakt)', '300 gr rijst voor erbij']",https://www.leukerecepten.nl/recepten/chili-con-carne/
Bami goreng,"['16  nestjes mie (250 gr)', '1  teen knoflook', '1  paprika', '450 gr bami/nasi groente', '1 eetlepel olie', '2 eetlepels ketjap', 'handje cashewnoten (ongezouten)', '1 theelepel sambal', 'snuf paprikapoeder', '½ theelepel gemberpoeder', 'Snuf kurkuma', 'Lekker met: kroepoek, kippenvleugels en/of een eitje']",https://www.leukerecepten.nl/recepten/bami-goreng/
Cannelloni met asperges en geitenkaas,"['12  verse pastavellen (250 gr )', '700 gr groene asperges', '12  plakken parmaham', '40 gr bloem', '30 gr boter', '400 ml melk', '200 gr geitenkaas', 'peper en zout', '1  klein zakje croutons a 50 gr']",https://www.leukerecepten.nl/recepten/cannelloni-met-asperges-en-geitenkaas/
Italiaanse groentesoep,"['1 liter groentebouillon', '1  kleine ui', '1/2 eetlepel italiaanse kruiden', '1  courgette', '1  paprika', '200 gr  gesneden prei', '70 gr tomatenpuree', '75 gr macaroni', 'olijfolie']",https://www.leukerecepten.nl/recepten/italiaanse-groentesoep/
Aubergine schnitzels,"['1  aubergine', '1  ei', 'bordje bloem', 'bordje panko', 'Snuf komijn', '1 eetlepel peterselie', '250 gr tomaatjes aan tak', '1 eetlepel grof gehakte amandel', '450 gr zoete aardappelpuree', 'peper en zout']",https://www.leukerecepten.nl/recepten/aubergine-schnitzels/
Courgette spaghetti met groenteballetjes,"['1  bakje groenteballetjes', '2  courgettes of 1 bakje courgette spaghetti', '1  blik tomatenblokjes a 400 ml', '1  klein blikje tomatenpuree', 'verse basilicum', 'Handje pijnboompitten (geroosterd)', '125 gr champignons', '1  ui', '1  teen knoflook']",https://www.leukerecepten.nl/recepten/courgette-spaghetti-met-groenteballetjes/
Pita met vegetarische shoarma,"['1  bakje tofu a 375 gr', '1 eetlepel shoarma kruiden', '3 eetlepels bloem', '5  grote pita broodjes', '½   komkommer', '200 gr fijngesneden witte kool', '2  tomaten']",https://www.leukerecepten.nl/recepten/pita-met-vegetarische-shoarma/
Vegetarische stroganoff ovenschotel,"['275 gr penne pasta', '1  ui', '1  teen knoflook', '400 gr champignons (in schijfjes)', ""2  paprika's"", '1  blikje tomatenpuree', '2 theelepels gerookt paprikapoeder', '100 ml water', '150 ml creme fraiche', 'peper en zout', '1 theelepel maïzena', '50 gr geraspte kaas']",https://www.leukerecepten.nl/recepten/vegetarische-stroganoff-ovenschotel/
Pizza krans met salami,"['5  plakjes Koopmans pizzadeeg (kant-en-klaar)', '2 eetlepels pizzasaus', '3  plakjes salami', '½ bol mozzarella', '¼ paprika', '75 gr champignons', '1 eetlepel geraspte kaas']",https://www.leukerecepten.nl/recepten/pizza-krans-met-salami/
Ovenschotel met romige spruitjes,"['600 gr spruitjes', '250 gr spekjes', '800 gr aardappels (kruimig in stukken)', '200 ml melk', '1  zoete puntpaprika', 'Klont boter', 'handje geraspte kaas', '200 gr roomkaas met kruiden', 'peper en zout']",https://www.leukerecepten.nl/recepten/ovenschotel-met-romige-spruitjes/
Zalm teriyaki,"['4  zalmfilets à 150 gr', '75 ml sojasaus', '1 eetlepel donkere basterdsuiker', 'Snuf knoflookpoeder', 'snuf gemberpoeder', '50 ml water', '1 eetlepel honing', 'Scheutje sesamolie', '1 theelepel maïzena (optioneel)']",https://www.leukerecepten.nl/recepten/zalm-teriyaki/
Pasta met bloemkool en spekjes,"['300 gr pasta', '250 gr spekjes', '750 gr bloemkool', '250 ml creme fraiche', '1 theelepel tijm', '150 gr erwtjes', 'Parmezaanse kaas', 'Scheutje olijfolie', 'Snuf zwarte peper']",https://www.leukerecepten.nl/recepten/pasta-met-bloemkool-en-spekjes/
Poké bowl met zalm,"['250 gr verse zalmfilet', '1  avocado', '150 gr rijst (sushi)', '2 eetlepels rijstazijn', '½   komkommer', 'sesamzaadjes', '175 gr mango', '30 gr Alfalfa']",https://www.leukerecepten.nl/recepten/poke-bowl-met-zalm/
Boerenkool risotto,"['150 gr boerenkool', '150 gr risottorijst', 'Klont boter', '50 gr parmezaanse kaas', '1  groentebouillonblokje', '½   ui', '1  knoflook', 'Scheutje witte droge wijn', '2 eetlepels pijnboompitten (geroosterd)', 'Optioneel: paar plakjes salami']",https://www.leukerecepten.nl/recepten/boerenkool-risotto/
Burrito’s van kool,"['1  groene of Chinese kool (12 bladeren)', '300 gr rundergehakt', '1  uitje', '1 teentje knoflook', '400 ml tomatenblokjes', '1 eetlepel tomatenpuree', '1 eetlepel taco kruiden', '1  klein blikje mais', '2  handjes geraspte kaas', '100 gr kidneybonen uit zak']",https://www.leukerecepten.nl/recepten/burritos-van-kool/
Rode kool plaattaart,"['6  velletjes bladerdeeg', '1  kleine appel', '100 gr brie', 'handje walnoten', '100 gr roomkaas', '200 gr rode kool (fijngesneden)', 'Honing']",https://www.leukerecepten.nl/recepten/rode-kool-plaattaart/
Winter rolls met zoetzure saus,"['10  rijstvellen voor springrolls', '50 gr Boerenkool (fijngesneden)', '75 gr peen julienne', '100 gr rode kool (fijngesneden)', '10 blaadjes verse munt', '50 gr glasnoedels', 'handje walnoten', '1 eetlepel sesamzaadjes']",https://www.leukerecepten.nl/recepten/winter-rolls-met-zoetzure-saus/
Lasagne met courgette,"['2 eetlepels olijfolie', '2  grote courgettes', '300 gr rundergehakt', '2  sjalotjes of 1 rode ui', '400 ml gezeefde tomaten', '70 ml tomatenpuree', 'handje geraspte kaas', '9  verse of voorgekookte lasagnevellen', 'Zout en peper', '1 theelepel oregano', '1 theelepel tijm']",https://www.leukerecepten.nl/recepten/lasagne-met-courgette/
Gnocchi roerbak met broccoli,"['400 gr gnocchi', '125 gr champignons (in plakjes)', '250 gr broccoli (in kleine roosjes)', '1  uitje', '1  teen knoflook', 'Handje Parmezaanse kaas', '2 eetlepels pijnboompitten (geroosterd)', '100 gr spekjes', 'Snuf peper']",https://www.leukerecepten.nl/recepten/gnocchi-roerbak-met-broccoli/
Tonkatsu (japanse schnitzel),"['150 gr rijst', '2  ongepaneerde varkensschnitzels of lapjes', '1  ei', '1  bordje bloem', '1  bordje panko (Japans broodkruim)', '1  bosui']",https://www.leukerecepten.nl/recepten/tonkatsu-japanse-schnitzel/
Gevulde courgette met pizza topping,"['2  courgettes', '200 ml pizza saus', '1 theelepel italiaanse kruiden', '1  Handje geraspte mozzarella', '3  plakjes salami', '1  Handje rucola']",https://www.leukerecepten.nl/recepten/gevulde-courgette-met-pizza-topping/
Zalm fajita,"['1  rode ui', '1  grote rode paprika', '2 eetlepels fajita of tacokruiden', '2  stukjes zalm', '125 ml zure room', '2  bosuien', '4  wraps', '1  limoen', '200 gr mango (in blokjes)']",https://www.leukerecepten.nl/recepten/zalm-fajita/
Ovenschotel met gehakt en zoete aardappelpuree,"['300 gr gehakt', '450 gr zoete aardappelpuree (zelfgemaakt of kant en klaar)', '2  puntpaprika’s', '200 gr prei (fijngesneden)', '1 theelepel cajunkruiden', '1 eetlepel tomatenpuree', 'Handje  geraspte kaas']",https://www.leukerecepten.nl/recepten/ovenschotel-met-gehakt-en-zoete-aardappelpuree/
Erwtensoep met kip,"['400 gr spliterwten', '1  prei', '2  groente bouillonblokjes', '150 gr knolselderij (ongeveer ¼ van een hele knolselderij)', '1  winterpeen', '1  aardappel (kruimig)', '2  gerookte kipfilets (300 gr)', 'Paar takjes selderij', '1  ui', '1  laurierblaadje']",https://www.leukerecepten.nl/recepten/erwtensoep-met-kip/
Nasi met pittige garnalen,"['2  tenen knoflook', '1  ui', '175 gr pandan rijst', '75 gr taugé', '200 gr garnalen', '1 a 2 theelepels theelepels sambal', 'Snuf djahe (gemalen gember)', 'Snuf kerriepoeder', 'in zonnebloemolie om te bakken', 'Scheutje ketjap manis', '2  bosuien', 'gebakken uitjes']",https://www.leukerecepten.nl/recepten/nasi-met-pittige-garnalen/
Vegetarische erwtensoep,"['400 gr spliterwten', '1  prei', '1  laurierblaadje', '300 gr pompoen in blokjes', '2  groente bouillonblokjes (vegan)', '200 gr knolselderij', '1  zoete aardappel', 'Paar takjes selderij', '150 gr winterpeen', '1  ui']",https://www.leukerecepten.nl/recepten/vegetarische-erwtensoep/
Andijviestamppot met spekjes,"['600 gr kruimige aardappels', '400 gr andijvie', '100 ml melk', 'Klont boter', 'peper en zout', '250 gr spekjes', '1  ui']",https://www.leukerecepten.nl/recepten/andijviestamppot-met-spekjes/
Gevulde appels met hete bliksem,"['4  grote zure appels (bv goudrenetten)', '1  zoete appel (bv jonagold)', '1  ui', '400 gr kruimige aardappels', 'scheutje melk', '125 gr spekjes', 'Snufje kaneel', 'citroensap']",https://www.leukerecepten.nl/recepten/gevulde-appels-met-hete-bliksem/
Stamppot met snijbonen en spekjes,"['400 gr snijbonen (gesneden)', '1 kg stamppot aardappels (geschild)', 'Klontje boter', 'Scheut melk', '250 gr spekjes', '2  puntpaprika’s', 'peper en zout', '1  ui']",https://www.leukerecepten.nl/recepten/stamppot-met-snijbonen-en-spekjes/
Stamppot met prei met brie,"['600 gr kruimige aardappels (geschild)', '100 gr brie', 'handje walnoten', '250 gr spekjes', '200 gr prei', 'scheutje melk', 'Klontje boter', 'snuf peper en zout']",https://www.leukerecepten.nl/recepten/stamppot-met-prei-met-brie/
Spinaziestamppot met ei,"['400 gr verse spinazie', '600 gr kruimige aardappels (geschild)', '75 ml melk', 'peper en zout', '75 gr parmezaanse kaas', 'Klontje boter', '3  eieren', '1  ui', '30 gr pijnboompitten (geroosterd)']",https://www.leukerecepten.nl/recepten/spinaziestamppot-met-ei/
Zoete aardappel stamppot,"['1 kg zoete aardappels', '200 gr verse spinazie', 'Klontje boter of margarine', '125 gr zachte geitenkaas', 'Handje walnootjes', 'peper en zout', '6  chipolata worstjes']",https://www.leukerecepten.nl/recepten/zoete-aardappel-stamppot/
Boerenkoolstamppot met worst,"['300 gr gesneden boerenkool', '500 gr kruimige aardappels (geschild)', '1  grote of 2 kleine rookworsten', 'Scheut warme melk', '20 gr boter', '1 theelepel mosterd', 'peper en zout', 'Snufje nootmuskaat']",https://www.leukerecepten.nl/recepten/boerenkoolstamppot-met-worst/
Pannenkoek met kaas en spek,"['300 gr bloem', 'snufje zout', '3  eieren', '750 ml melk', '100 gr geraspte kaas', '12  plakken ontbijtspek']",https://www.leukerecepten.nl/recepten/pannenkoek-met-kaas-en-spek/
Parelcouscous met broccoli en zalm,"['140 gr parelcouscous', '300 gr broccoli', '2  stukjes zalm', '½   bouillonblokje', 'snuf paprikapoeder', '60 gr gedroogde tomaten', '2 eetlepels pijnboompitten (geroosterd)', 'Snuf zwarte peper', '2 eetlepels citroensap', 'Snufje gedroogde peterselie']",https://www.leukerecepten.nl/recepten/parelcouscous-met-broccoli-en-zalm/
Courgette spaghetti met halloumi,"['2  grote courgettes (of 400 gr kant en klare courgetti)', '250 gr tomaatjes geel en rood', '200 gr halloumi (grill kaas)', '2 eetlepels pistachenoten']",https://www.leukerecepten.nl/recepten/courgette-spaghetti-met-halloumi/
Salade met gerookte zalm en aardappeltjes,"['300 gr gerookte zalm', '800 gr krieltjes in schil', '250 gr tuinerwten (diepvries)', '½   komkommer', 'Zak gemengde sla', 'Snuf zeezout', 'Snuf peper', 'Olijfolie']",https://www.leukerecepten.nl/recepten/salade-met-gerookte-zalm-en-aardappeltjes/
Quinoa soep met zoete aardappel,"['400 ml tomatenblokjes', '350 gr zoete aardappel (geschild)', '100 gr prei', '500 ml water', '1  groente bouillonblokje', ' 100 gr quinoa ', '170 ml griekse yoghurt']",https://www.leukerecepten.nl/recepten/quinoa-soep-met-zoete-aardappel/
Eendenborst met cranberry compote,"['4  eendenborsten', 'peper en zout', '600 gr aardappels', '2  tenen knoflook', 'Paar takjes tijm', 'Olie en boter']",https://www.leukerecepten.nl/recepten/eendenborst-met-cranberry-compote/
Zalm in filodeeg,"['1  pak á 10 vellen filodeeg (ontdooid)', '5  moten zalm', '75 gr boter', '200 gr spinazie', '250 gr ricotta', '2 teentjes knoflook', '3 eetlepels paneermeel', 'peper en zout', 'olie om in te bakken']",https://www.leukerecepten.nl/recepten/zalm-in-filodeeg/
Hete bliksem,"['800 gr geschilde kruimige aardappels', '500 gr appels (mix van zoet en zuur)', '1  grote ui', 'Klont boter', 'Scheut melk', 'peper en zout', 'Snufje kaneel']",https://www.leukerecepten.nl/recepten/hete-bliksem/
Coq au vin,"['5  kip drumsticks á 550-600 gram', '250 gr champignons', '1  winterpeen', '2  uien', '100 gr ontbijtspek', '5 eetlepels bloem', 'peper en zout', '½ theelepel paprikapoeder', '1 theelepel tijm', '250 ml rode wijn', '400 gr tomatenblokjes', '1  bouillonblokje', '300-400 ml water', 'boter om in te bakken.', 'Peterselie voor de garnering']",https://www.leukerecepten.nl/recepten/coq-au-vin/
Kip Parmezaan,"['500 gr kipfilet', '2 teentjes knoflook', '2 eetlepels olijfolie', '400 gr pastasaus (met basilicum of Italiaanse kruiden)', '1  bol mozzarella', '100 gr parmezaanse kaas', '80 gr (knoflook) croutons', 'Zout en peper', 'Paar blaadjes verse basilicum']",https://www.leukerecepten.nl/recepten/parmezaanse-kip/
Zuurkool stamppot,"['1 kg kruimige aardappelen (geschild)', '4  kruidnagels', '500 gr zuurkool', '1  groente bouillonblokje', '2  rookworsten of 1 grote', '1  appel', 'Klontje boter']",https://www.leukerecepten.nl/recepten/zuurkool/
Hartige groentetaart met pastinaak,"['6  vellen deeg hartige taart', '400 gr blokjes pompoen', '150 gr smeerbare geitenkaas', '1  courgette', 'handje geraspte kaas', '400 gr pastinaak', 'snuf tijm', '2  tenen knoflook', 'peper en zout', '2 eetlepels paneermeel', '1  lente ui (in ringen)', 'olie om te bakken']",https://www.leukerecepten.nl/recepten/hartige-groentetaart-met-pastinaak/
Quesadilla’s met rode biet en boerenkool,"['4  tortilla’s', '50 gr boerenkool', '2  gekookte rode bieten', '1  kleine appel', '100 gr geitenkaas', 'Handje walnoten', 'Peterselie ter garnering']",https://www.leukerecepten.nl/recepten/quesadillas-met-rode-biet-en-boerenkool/
Aubergine ovenschotel met geitenkaas,"['2  aubergine', '1  ui', '2  tenen knoflook', '200 gr geitenkaas', 'verse basilicum', '800 ml tomatenblokjes', '50 gr pecannoten', 'peper en zout']",https://www.leukerecepten.nl/recepten/aubergine-ovenschotel-met-geitenkaas/
Zoet zure garnalen in omelet wrap,"['200 gr garnalen', '250 gr ananas', '4  eieren', 'Scheut melk', '250 gr Chinese roerbak groentemix']",https://www.leukerecepten.nl/recepten/zoet-zure-garnalen-in-omelet-wrap/
Gevulde portobello in bladerdeeg,"['4  vellen bladerdeeg', ""4  portobello's"", '100 gr blauwe kaas', '2 eetlepels pijnboompitten', '100 gr geitenkaas', '150 gr spinazie (ontdooid)']",https://www.leukerecepten.nl/recepten/gevulde-portobello-in-bladerdeeg/
Cannelloni met spinazie en zalm,"['350 gr verse zalm', '12  verse lasagnevellen', '600 gr spinazie', '1 eetlepel citroensap', '125 gr ricotta', 'peper en zout', '300 ml melk', '25 gr boter', '25 gr bloem', 'Handje geraspte mozzarella', '3 eetlepels pijnboompitten', 'verse basilicum']",https://www.leukerecepten.nl/recepten/cannelloni-met-spinazie-en-zalm/
Bloemkool broccoli curry,"['1 eetlepel rode currypasta', '250 ml kokosmelk', '1  ui', '250 gr broccoli roosjes', 'Handje cashewnoten', '250 gr bloemkool roosjes', '200 gr rijst']",https://www.leukerecepten.nl/recepten/bloemkool-broccoli-curry/
"Parelcouscous met broccoli, pesto en braadworst","['300 gram parelcouscous', '1 stronk  broccoli', '4  braadworsten', '1 eetlepel groene pesto', 'verse basilicum', 'Handje  kaassnippers', '2 eetlepels  pijnboompitten', 'boter (om te bakken)']",https://www.leukerecepten.nl/recepten/parelcouscous-met-broccoli-pesto-en-braadworst/
Pasta ovenschotel met witlof,"['3  stronkjes witlof', '200 gr pasta', '200 ml tomatensaus', '1 theelepel italiaanse kruiden', '6  plakken parmaham', '1  bol mozzarella', 'verse basilicum', 'peper en zout']",https://www.leukerecepten.nl/recepten/pasta-ovenschotel-met-witlof/
Thaise noedelsoep met visballetjes,"['1  paksoi', '3 cm gember', '1  knoflook', '1  ui', 'Handje taugé', '150 gr wortel', '100 gr eiermie', '1  blokje visbouillon', '1  rode peper voor garnering']",https://www.leukerecepten.nl/recepten/thaise-noedelsoep-met-visballetjes/
Bietenlasagne met walnoten,"['2  pakjes gekookte bieten a 500 gr', '50 gr boter', '60 gr bloem', '500 ml melk', '1  ei', '250 gr ricotta', 'snuf tijm', 'peper en zout', '1  pak verse lasagne bladen', 'Handje geraspte mozzarella', '75 gr walnoten']",https://www.leukerecepten.nl/recepten/bietenlasagne-met-walnoten/
Gevulde aardappels bolognese,"['4  grote aardappels (vastkokend)', '300 gr gehakt', '1 blik tomatensaus a 400 ml', '1  teen knoflook', '1  ui', '1 eetlepel tomatenpuree', 'handje geraspte kaas', 'Italiaanse kruiden kruiden', '100 gr wortel', '1  stengel bleekselderij']",https://www.leukerecepten.nl/recepten/gevulde-aardappels-bolognese/
Pita met pompoen en falafel,"['5  grote pita broodjes', '1  bakje falafel (ca 10 stuks)', '400 gr pompoenblokjes', 'scheutje olie', 'Snuf komijn', 'peper en zout', '100 ml yoghurt (plantaardig)', '2 eetlepels citroensap', 'Handje sla (met rode biet)', '1 eetlepel pompoenpitten']",https://www.leukerecepten.nl/recepten/pita-met-pompoen-en-falafel/
Groene shakshuka met aardappel,"['200 gr verse spinazie', '450 gr aardappelpartjes', '4  eieren', '2  bosuien', 'peper en zout', '75 gr feta', 'verse peterselie', '1  grote ui', '100 ml kokosmelk', 'Snuf za’atar (Midden Oosterse kruiden)']",https://www.leukerecepten.nl/recepten/groene-shakshuka-met-aardappel/
Pitabroodjes met broccoli,"['6  pitabroodjes', '400 gr kikkererwten (uitlekgewicht 265 gr)', '½  broccoli', '50 gr feta', 'Tzatziki', 'Zeezout', 'Olijfolie', 'Paprikapoeder', 'Peterselie']",https://www.leukerecepten.nl/recepten/pitabroodjes-met-broccoli/
Boxty met romige kip,"['450 gr aardappelen', '225 gr bloem', '1  ei', '300 ml melk', 'Zout en peper', '50 gr  boter om in te bakken.']",https://www.leukerecepten.nl/recepten/boxty-met-romige-kip/
Kip Hawaï wraps,"['500 gr kip', '4 eetlepels barbecuesaus', '250 gr ananas', '100 gr sla romaine', '6  wraps', ""2  paprika's"", '200 gr roomkaas', '150 gr geraspte kaas']",https://www.leukerecepten.nl/recepten/kip-hawai-wraps-met-paprika/
Caribische bowl met bakbanaan,"['1  grote bakbanaan', '140 gr quinoa', '1  avocado', 'handje cashewnoten', '225 gr zwarte bonen', '150 gr mais', 'zonnebloemolie']",https://www.leukerecepten.nl/recepten/caribische-bowl-met-bakbanaan/
Zoete aardappel quiche met spinazie,"['6 vellen deeg voor hartige taart', '200 gr zoete aardappel', '175 gr spinazie', '100 gr feta', '1  rode ui', '1 teentje knoflook', '2  eieren', '100 ml kookroom', 'handje paneermeel', 'rechthoekige quichevorm']",https://www.leukerecepten.nl/recepten/zoete-aardappel-quiche-met-spinazie/
Lasagne met champignon saus,"['400 gr champignons (in plakjes)', '9  verse lasagnevellen', '600 gr spinazie', '40 gr bloem', '40 gr boter', '500 ml melk', '1  teen knoflook', '150 gr geraspte mozzarella', 'Handje geroosterde pijnboompitten', '1  ui', 'Snuf Italiaanse kruiden']",https://www.leukerecepten.nl/recepten/lasagne-met-champignon-saus/
Beef shanghai,"['100 gr prei', '100 gr taugé', '½   pak woknoedels (a 248 gr)', '1  paprika', 'sesamzaadjes', 'verse koriander']",https://www.leukerecepten.nl/recepten/beef-shanghai/
Zoete aardappel falafel,"['1  Turks brood', '½   komkommer', '2  handjes sla', '50 gr peen julienne', 'peterselie', 'Olie om te frituren']",https://www.leukerecepten.nl/recepten/zoete-aardappel-falafel/
Naanbrood met hummus en vegaballetjes,"['4  mini naanbroodjes (zelfgemaakt of kant en klaar)', '210 gr groenteballetjes', '4 eetlepels yoghurt', '1 eetlepel citroensap', 'peper en zout', 'verse koriander (of peterselie)', '1 eetlepel walnoten', '100 gr hummus', '1  aubergine', 'scheut olijfolie']",https://www.leukerecepten.nl/recepten/naanbroodjes-met-hummus-en-groenteballetjes/
Gegratineerde gnocchi ovenschotel,"['400 gr gnocchi', '295 gr geroosterde paprika uit pot.', '125 ml room', 'verse basilicum', 'Handje geraspte mozzarella kaas', '2  tenen knoflook', '1  ui', '1  courgette', 'boter om te bakken']",https://www.leukerecepten.nl/recepten/gnocchi-ovenschotel/
Nasi,"['2  tenen knoflook', '2  uitjes', '300 gr pandan rijst', '100 gr hamreepjes', ' 1 a 2  theelepels sambal', '1 theelepel djahe (gemalen gember)', '1 theelepel kerriepoeder', 'zonnebloemolie om in te bakken', 'Scheutje ketjap manis', '2  bosuien']",https://www.leukerecepten.nl/recepten/nasi/
Gevulde Mexicaanse broodjes,"['12  kaiser broodjes', '500 gr gehakt', '150 gr mais', '1  teen knoflook', '1  witte ui', '1  paprika', '400 gr tomatenblokjes', '2 theelepels paprikapoeder', '1 theelepel komijn', 'Snuf cayenne peper', 'zout', '2  handjes geraspte kaas', '125  ml zure room', 'olie om in te bakken', 'peterselie (voor garnering)']",https://www.leukerecepten.nl/recepten/gevulde-mexicaanse-broodjes/
Shakshuka met zoete aardappel,"['1200 gr gepelde tomaten', '400 gr spinazie', '6  eieren', '300 gr kikkererwten', '2  uien', '2 teentjes knoflook', '1 theelepel komijn', '1 theelepel paprikapoeder', '1  rode peper (naar smaak)', '600 gr zoete aardappel', '125 gr feta', '2  avocado’s', 'olie om te bakken', 'peper en zout', 'Snuf ras el hanout', 'peterselie']",https://www.leukerecepten.nl/recepten/shakshuka-met-zoete-aardappel/
Boontjes sajoer met kipspies,"['400 gr sperziebonen', 'Sajoer boontjes boemboe of saus', 'Gebakken uitjes om te garneren', '300 gr kippendijen', '¼   ananas', '150 gr rijst', 'Handje kroepoek', '½   komkommer', '1  bosui']",https://www.leukerecepten.nl/recepten/boontjes-sajoer-met-kipspies/
Grieks gevulde zoete aardappel,"['3  middelgrote zoete aardappels', '1  avocado', '125 gr cherrytomaatjes', '75 gr feta', '⅓ komkommer', '2 eetlepels walnoot', 'olie', 'peper en zout']",https://www.leukerecepten.nl/recepten/grieks-gevulde-zoete-aardappel/
Frisse wraps met pulled salmon,"['4  zalmmoten (ca. 520 gr)', 'romaine sla', '150 gr wortel julienne', '½  komkommer', 'handje pistache nootjes']",https://www.leukerecepten.nl/recepten/frisse-wraps-met-pulled-salmon/
Gegrilde avocado’s met gehakt,"['4  avocado’s', '1 eetlepel limoensap', '300 gr rundergehakt', '1 theelepel paprikapoeder', '1  snuf chili', '½ theelepel komijn', 'Snuf oregano', 'peper en zout', '100 gr cherrytomaatjes', '140 gr mais', '1  rode ui', '1 eetlepel tomatenpuree']",https://www.leukerecepten.nl/recepten/gegrilde-avocados-met-gehakt/
Gepaneerde vis met roerbakgroenten,"['600 gr friet', '2 stukken witvis', '1  bordje paneermeel', '1  bordje bloem', '1  ei', '1  paprika', '1  courgette']",https://www.leukerecepten.nl/recepten/gepaneerde-vis-met-groenteroerbak/
Zoete aardappel gnocchi met spinazie,"['1 portie  zoete aardappel gnocchi (volgens dit recept)', '200 gr spinazie', '120  zongedroogde tomaatjes', '75 ml kook room', 'handje walnoten', 'Handje Parmezaanse kaas', 'olijfolie']",https://www.leukerecepten.nl/recepten/zoete-aardappel-gnocchi-spinazie/
Kip vadouvan in papillot,"['2  kipfilets', '200 gr sperziebonen', '125 gr cherrytomaatjes', '1  teen knoflook', '2 theelepels vadouvan kruiden']",https://www.leukerecepten.nl/recepten/kip-vadouvan-in-papillot/
Libanees brood met groenten,"['6  Libaneese wraps of flatbread', '1  courgette', '1  aubergine', 'Handje geschaafde amandel', ""2  paprika's"", '1 theelepel baharat kruiden', '100 gr granaatappelpitten', '1 eetlepel tomatenpuree', 'scheutje water', '170 gr Turkse yoghurt', 'verse munt']",https://www.leukerecepten.nl/recepten/libanees-brood-met-groenten/
Boboti met sperziebonen,"['400 gr sperziebonen', '120 gr gedroogde abrikozen', '2  appels', '1  ui', '500 gr gehakt', '1  teen knoflook', '1 theelepel kerrie', '½ theelepel gember', 'Snufje kaneel', 'Snufje zout en peper', '1 snee brood', '3  eieren', '250 ml melk', '125 ml creme fraiche']",https://www.leukerecepten.nl/recepten/boboti-met-sperziebonen/
Pasta met truffel roomsaus,"['160 gr tagliatelle pasta', '250 gr kastanje champignons', '75 gr truffeltapenade', '1  ui', 'Handje rucola', '100 ml room', '2 eetlepels parmezaanse kaas', 'Optioneel: scheutje olijfolie met truffel aroma']",https://www.leukerecepten.nl/recepten/pasta-met-truffel-roomsaus/
Kapsalon hawaï,"['400 gr shoarma', '700 gr frieten', '250 gr ananas', '100 gr ijsbergsla', '125 gr cherrytomaatjes', 'handje geraspte kaas', 'Knoflooksaus']",https://www.leukerecepten.nl/recepten/kapsalon-hawai/
Pizza met perzik en ricotta,"[' 1  x 450 gr Koopmans pizzabodem mix (of zelfgemaakt pizzadeeg)', '3  perziken', '250 gr ricotta', 'verse basilicum', '8  plakken parmaham', '2  rode uien', 'Kneep honing', '2 eetlepels pecannootjes']",https://www.leukerecepten.nl/recepten/pizza-perzik-en-ricotta/
Vegetarische roti met zoete aardappel,"['8  rotivellen (of wraps)', '2  zoete aardappels (600 gr)', '400 gr sperziebonen', '4  eieren', '250 ml water', '1  tomaat', '1 eetlepel tomatenpuree', '1 theelepel masala kruiden', '1  ui', '1  teen knoflook', 'Snuf kerriepoeder', 'Optioneel: snuf chili', 'peper en zout']",https://www.leukerecepten.nl/recepten/vegetarische-roti-met-zoete-aardappel/
Ziti al forno met gehaktballetjes,"['400 gr ziti/rigatoni pasta', '2  tenen knoflook', '1  klein blikje tomatenpuree', '2  blikken tomatenblokjes', '1  ui', '1 theelepel italiaanse kruiden', '1  bouillonblokje rundvlees', '1  maxi mozzarella of 2 bollen', 'Handje Parmezaanse kaas', 'Verse basilicum om te garneren']",https://www.leukerecepten.nl/recepten/ziti-al-forno-met-gehaktballetjes/
Slaschuitjes met kip cashew,"['300 gr kippendijen', '100 gr cashewnoten', '1  bosui', '½  rode peper', '2 eetlepels sojasaus', '2 eetlepels oestersaus', '1 eetlepel bruine suiker', '1  ui', '2  knoflook', 'Scheutje sesamolie', '6 blaadjes romaine sla', 'optioneel: maïzena']",https://www.leukerecepten.nl/recepten/slaschuitjes-met-kip-cashew/
